SBD BB KHTN KHXH
BD1202085 23.7 21.75 0 
BD1202086 11.9 8 14.25 
BD1202087 11 0 16 
BD1202088 17 0 16.75 
BD1202089 5.5 0 10.5 
BD1202090 13.2 0 18.5 
BD1202091 18.25 18.25 0 
BD1202092 18.25 14.75 0 
BD1202093 16.8 13 0 
BD1202094 11.15 9.5 15.25 
BD1202095 17.75 15.5 0 
BD1202096 14.7 11.75 0 
BD1202097 9.15 0 15.5 
BD1202098 10.9 0 12.75 
BD1202099 4.55 0 3.75 
BD1202100 17.55 15.25 14.25 
BD1202101 17.05 0 18.25 
BD1202102 14.2 0 12.25 
BD1202103 21.9 0 21 
BD1202104 9 10.5 14.5 
BD1202105 15.7 13.75 0 
BD1202106 18.05 0 22.75 
BD1202107 15.3 14.5 15.25 
BD1202108 13.8 11.25 0 
BD1202109 10.4 0 16.75 
BD1202110 18.85 18.75 0 
BD1202111 17.15 19.25 0 
BD1202112 16.8 22.75 0 
BD1202113 15.8 15.75 17.25 
BD1202114 14.35 11.5 0 
BD1202115 16.45 0 19.75 
BD1202116 20.5 0 16.75 
BD1202117 18.1 0 21 
BD1202118 16.7 19.25 0 
BD1202119 14.65 13.5 0 
BD1202120 21.35 18.5 0 
BD1202121 18.45 17 0 
BD1202122 15.65 16.25 15.25 
BD1202123 10.75 0 11 
BD1202124 15 10.5 0 
BD1202125 18.1 14.25 0 
BD1202126 9.75 0 4.25 
BD1202127 9 0 13 
BD1202128 20.75 18.5 0 
BD1202129 10.55 0 15.5 
BD1202130 21.2 0 24.75 
BD1202131 21.65 15.75 0 
BD1202132 21.9 22.75 0 
BD1202133 13.3 0 15 
BD1202134 14.55 0 12.25 
BD1202135 16.8 15 19 
BD1202136 20.15 14 0 
BD1202137 18.8 19.5 0 
BD1202138 18.1 15.75 0 
BD1202139 9.55 9.5 14 
BD1202140 13.25 0 11.25 
BD1202141 20.4 0 20 
BD1202142 8.8 0 12.75 
BD1202143 12.5 0 15.75 
BD1202144 19.95 16.5 0 
BD1202145 11.9 0 18.25 
BD1202146 18.6 13 0 
BD1202147 21 16.75 0 
BD1202148 11.5 8.5 14.5 
BD1202149 18.75 17.75 0 
BD1202150 18.85 11.5 0 
BD1202151 16.95 18.75 0 
BD1202152 21 16.75 0 
BD1202153 15.6 15.75 11 
BD1202154 10.4 9 17.5 
BD1202155 12.8 0 21 
BD1202156 13.5 0 15.75 
BD1202157 12 0 17.25 
BD1202158 13.15 8.75 15.75 
BD1202159 17.55 19.5 0 
BD1202160 12.45 0 17.5 
BD1202161 15.65 0 12.25 
BD1202162 14.5 0 17.75 
BD1202163 14.05 8 17.5 
BD1202164 21.5 14 19 
BD1202165 9.6 0 12.25 
BD1202166 8 0 9 
BD1202167 17.6 0 17 
BD1202168 14.6 9 15 
BD1202169 7.55 8 14.75 
BD1202170 20.9 19.5 0 
BD1202171 19.9 0 19.75 
BD1202172 17.6 16.75 0 
BD1202173 15.55 12 16 
BD1202174 18.7 17.75 0 
BD1202175 13.1 0 13.25 
BD1202176 10.95 0 15 
BD1202177 11.2 0 14.5 
BD1202178 12.85 0 16.25 
BD1202179 17.5 17 0 
BD1202180 17.8 16.25 0 
BD1202181 20.5 11.75 0 
BD1202182 13.9 0 14 
BD1202183 16.95 0 20.5 
BD1202184 21.7 19 0 
BD1202185 17.85 18.5 0 
BD1202186 14.55 0 19.75 
BD1202187 21.85 15.25 0 
BD1202188 17.9 15.25 0 
BD1202189 19.95 17.25 0 
BD1202190 14.8 16.5 0 
BD1202191 19.7 19.75 21.75 
BD1202192 14.2 0 18.5 
BD1202193 15.6 0 22.75 
BD1202194 17.05 0 16.75 
BD1202195 22.25 14.75 0 
BD1202196 16.65 15.5 0 
BD1202197 15.65 0 15.5 
BD1202198 10.25 0 15.5 
BD1202199 23 0 17.5 
BD1202200 21.1 19.5 0 
BD1202201 16.45 12 0 
BD1202202 15.85 14.5 0 
BD1202203 17 14 0 
BD1202204 12.95 0 14.75 
BD1202205 19.05 0 20 
BD1202206 15.3 12.25 17 
BD1202207 21.9 21 0 
BD1202208 15.45 17.5 0 
BD1202209 14.35 8.75 14.25 
BD1202210 10.75 0 14.5 
BD1202211 16.55 0 16 
BD1202212 16.2 14.25 13.75 
BD1202213 11.35 0 14.5 
BD1202214 14.85 17 0 
BD1202215 18.05 0 20.75 
BD1202216 18.95 0 20 
BD1202217 12.15 0 19.25 
BD1202218 17.35 0 15.75 
BD1202219 15.15 0 21.25 
BD1202220 22.1 15.25 0 
BD1202221 10.5 0 14.75 
BD1202222 10.8 0 13.5 
BD1202223 12.3 0 16.5 
BD1202224 15.65 13.25 0 
BD1202225 19.4 14 0 
BD1202226 13 0 14.75 
BD1202227 15.25 0 18.25 
BD1202228 12.2 8.75 19.5 
BD1202229 16.85 0 18.25 
BD1202230 13.2 11 18.25 
BD1202231 18.35 14.75 0 
BD1202232 15.7 12.5 18 
BD1202233 14.05 0 15.25 
BD1202234 16.1 14.5 0 
BD1202235 13.7 12.75 0 
BD1202236 12.2 0 13 
BD1202237 20 20.5 0 
BD1202238 17.05 11.5 21.25 
BD1202239 24.5 20 0 
BD1202240 15.4 0 10.25 
BD1202241 16.65 13.25 0 
BD1202242 13.45 16 14 
BD1202243 15.5 0 19.75 
BD1202245 13.3 13.75 0 
BD1202246 14.85 0 21 
BD1202247 15.55 0 16 
BD1202248 22.65 19.25 0 
BD1202249 3.95 0 2.5 
BD1202250 15.1 9.5 18.75 
BD1202251 12.1 7.5 18 
BD1202252 17.55 0 16.75 
BD1202253 9.55 0 22.75 
BD1202254 14.95 0 18.5 
BD1202255 15.35 0 20.5 
BD1202256 13.45 0 18 
BD1202257 12.55 0 15 
BD1202258 17.6 0 22.25 
BD1202259 15.5 0 18 
BD1202260 14.3 14.5 0 
BD1202261 19.4 14.25 0 
BD1202262 14.2 15.75 20.25 
BD1202263 11.4 0 13.75 
BD1202264 15.95 18.25 0 
BD1202265 15.55 18.5 0 
BD1202266 11.9 0 15.25 
BD1202267 14.6 9 19.25 
BD1202268 14.85 0 16.75 
BD1202269 11.95 0 17 
BD1202270 12.6 0 21.5 
BD1202271 14.7 0 18.25 
BD1202272 15.75 15.75 0 
BD1202273 13.5 0 16.5 
BD1202274 14.35 0 17.75 
BD1202275 15.15 17.25 0 
BD1202276 19.8 18.75 0 
BD1202277 9.05 0 17.75 
BD1202278 22.9 18 0 
BD1202279 12.5 8 17.25 
BD1202280 17.95 16 0 
BD1202281 17.45 16.75 0 
BD1202282 17.1 0 22 
BD1202283 13.25 8.75 17 
BD1202284 13.75 11.5 14.25 
BD1202285 12 0 13.75 
BD1202286 4.75 0 3.75 
BD1202287 9.25 0 12.25 
BD1202288 17.9 15 0 
BD1202289 12.65 8.25 19 
BD1202290 15 0 21.25 
BD1202291 20.4 13 13.5 
BD1202292 17.65 0 19.25 
BD1202293 18.4 0 23.75 
BD1202294 13.4 0 15.75 
BD1202295 16.9 19.5 0 
BD1202296 12.6 8.5 20 
BD1202297 15.95 0 15.75 
BD1202298 21.7 18.5 0 
BD1202299 13.8 0 19.5 
BD1202300 22.6 13.25 18.25 
BD1202301 13.8 12.75 0 
BD1202302 16.95 0 21.75 
BD1202303 11.5 10.75 18.25 
BD1202304 14.55 0 16 
BD1202305 15.65 0 23 
BD1202306 17.8 15.5 0 
BD1202307 17.7 15 18 
BD1202308 8.95 0 14.75 
BD1202309 10 0 21.75 
BD1202310 12.95 0 16 
BD1202311 20.1 14.75 0 
BD1202312 18.75 17.5 0 
BD1202313 14.7 18 0 
BD1202314 18.2 0 17 
BD1202315 19.4 12.25 20.75 
BD1202316 14.85 15.25 14.75 
BD1202317 17.75 17.5 0 
BD1202318 19.4 0 14.75 
BD1202319 9.7 0 16.75 
BD1202320 13.35 0 15.25 
BD1202321 14.85 0 20 
BD1202322 17.2 0 20.75 
BD1202323 11 13.75 0 
BD1202324 14.15 8.75 16.5 
BD1202325 13.65 0 20.5 
BD1202326 15.1 12.5 0 
BD1202327 13 0 18 
BD1202328 13.6 0 18.75 
BD1202329 19.1 21.5 0 
BD1202330 9.35 0 13 
BD1202331 12.4 0 17.5 
BD1202332 9.55 8.25 17 
BD1202333 16.45 19.5 0 
BD1202334 23.15 18 0 
BD1202335 21.65 21.75 0 
BD1202336 12.1 0 16.5 
BD1202337 15.6 0 21 
BD1202338 14.95 10.75 15.5 
BD1202339 12 0 16.5 
BD1202340 16.85 17.75 0 
BD1202341 17.7 13.5 0 
BD1202342 10.7 0 15.5 
BD1202343 12.85 0 14.5 
BD1202344 16.85 20.25 0 
BD1202345 15.5 10 17.75 
BD1202346 19.45 18.5 0 
BD1202347 17.2 0 16.5 
BD1202348 17 10.25 19.25 
BD1202349 21.35 20 0 
BD1202350 16.2 16.25 0 
BD1202351 15.1 13 0 
BD1202352 19.8 16 0 
BD1202353 13.45 13 0 
BD1202354 12.8 0 18.5 
BD1202355 11.5 9.5 0 
BD1202356 16.8 0 19 
BD1202357 20.3 0 18 
BD1202358 15.15 19 0 
BD1202359 15.6 12.5 0 
BD1202360 15.2 0 17.25 
BD1202361 19.85 18.75 0 
BD1202362 17.75 18.25 0 
BD1202363 7.4 0 3.25 
BD1202364 14.8 0 13.75 
BD1202365 14.7 0 21.5 
BD1202366 9.85 11.25 19.75 
BD1202367 8.25 0 9.5 
BD1202368 11.8 0 14.75 
BD1202369 14.05 0 16 
BD1202370 20.35 0 22.5 
BD1202371 18.3 0 18.25 
BD1202372 20.2 0 22 
BD1202373 13.5 0 15.5 
BD1202374 11.05 0 16.75 
BD1202375 18.75 18.5 0 
BD1202376 17.5 19.75 0 
BD1202377 15.35 16.75 0 
BD1202378 18.1 18 0 
BD1202379 18.7 18.5 0 
BD1202380 9.5 0 16.5 
BD1202381 11.9 0 14.75 
BD1202382 16.75 17.5 0 
BD1202383 13.25 13 0 
BD1202384 14.05 0 18.75 
BD1202385 18.4 13.75 18 
BD1202386 12.2 0 16.25 
BD1202387 19.35 15.75 0 
BD1202388 12.8 7.5 20 
BD1202389 16.05 17.25 0 
BD1202390 14.4 11 18.5 
BD1202391 22.8 21.75 0 
BD1202392 14.5 13.25 0 
BD1202393 15 0 16.5 
BD1202394 19.55 22 0 
BD1202395 10.35 9.5 10 
BD1202396 18.5 16.5 0 
BD1202397 16.4 7.75 18.25 
BD1202398 9.85 0 17 
BD1202399 17.1 0 20.5 
BD1202400 14.2 6.5 16 
BD1202401 16.05 0 17.75 
BD1202402 13.15 0 12.75 
BD1202403 18.05 18.5 0 
BD1202404 16.1 0 23 
BD1202405 17.25 14.75 0 
BD1202406 8.95 0 13.5 
BD1202407 15.15 0 17.75 
BD1202408 10.3 0 16 
BD1202409 20.3 0 21.25 
BD1202410 15 12.5 0 
BD1202411 13.3 9.25 18.75 
BD1202412 22.15 21.75 0 
BD1202413 14.8 0 25 
BD1202414 13.7 0 17.25 
BD1202415 12.05 0 19 
BD1202416 17.6 0 17.25 
BD1202417 12.55 15.5 17 
BD1202418 19.8 0 19.25 
BD1202419 21.15 23.25 0 
BD1202420 18.95 20.25 0 
BD1202421 15.9 0 23.75 
BD1202422 13.7 0 16.25 
BD1202423 19.3 19.25 0 
BD1202424 10.75 0 12 
BD1202425 8.2 0 12.5 
BD1202426 12.5 0 18.5 
BD1202427 17 21 0 
BD1202428 14.6 0 19.75 
BD1202429 14.15 0 19.75 
BD1202430 13.7 13.5 0 
BD1202431 15.15 17.75 0 
BD1202432 7.6 7.5 15.75 
BD1202433 10.8 0 15.75 
BD1202434 15.45 0 19.5 
BD1202435 19.35 15.25 0 
BD1202436 14.9 14 0 
BD1202437 18.25 14.5 0 
BD1202438 14.35 10.75 18.5 
BD1202439 11.7 0 15 
BD1202440 16.2 0 19.25 
BD1202441 17.35 0 17.25 
BD1202442 11.35 0 20.25 
BD1202443 18.75 18.75 0 
BD1202444 12.85 0 22 
BD1202445 16.3 0 21.5 
BD1202446 12 0 18.5 
BD1202447 22.2 14.5 0 
BD1202448 10 0 15.5 
BD1202449 14.1 12.25 0 
BD1202450 16.75 0 19.25 
BD1202451 17.8 16.5 0 
BD1202452 13.1 0 19.25 
BD1202453 10.85 11.75 14.75 
BD1202454 19.55 0 16 
BD1202455 14.35 12.75 0 
BD1202456 15.55 0 22.25 
BD1202457 18.4 19 0 
BD1202458 16.05 0 17.5 
BD1202459 10.25 6.75 16.25 
BD1202460 13.8 13 0 
BD1202461 15.15 0 17.5 
BD1202462 16.85 0 19.25 
BD1202463 4.75 0 4.5 
BD1202464 17.4 12.25 0 
BD1202465 11.4 4 0 
BD1202466 16.3 0 16 
BD1202467 14.8 0 18.75 
BD1202468 17.85 12.25 0 
BD1202469 19.35 16.5 0 
BD1202470 10.85 8 17.75 
BD1202471 16.6 16.5 0 
BD1202472 7.05 0 3 
BD1202473 19.25 0 23 
BD1202474 19.6 0 22.25 
BD1202475 18.75 14.75 0 
BD1202476 18 17 0 
BD1202477 13.2 0 13.25 
BD1202478 13.4 0 17.5 
BD1202479 20.05 0 20.75 
BD1202480 18.55 14.5 22.25 
BD1202481 16.1 11.5 19.25 
BD1202482 21.05 20.75 0 
BD1202483 15.25 0 17.75 
BD1202484 13.55 9.5 17 
BD1202485 15.7 14.5 0 
BD1202486 15.65 0 19 
BD1202487 17.2 0 17.75 
BD1202488 17.1 18.5 0 
BD1202489 20.4 0 25 
BD1202491 13.6 0 20.75 
BD1202492 16.4 0 18 
BD1202493 12.6 8.5 13.5 
BD1202494 17.7 18 0 
BD1202495 21 0 18 
BD1202496 15.6 6.75 15.25 
BD1202497 14.3 11.5 0 
BD1202498 17.35 0 18 
BD1202499 9.2 0 8.75 
BD1202500 21.95 15.25 0 
BD1202501 13.1 0 19.75 
BD1202502 12.85 0 18.5 
BD1202503 12.8 0 19.25 
BD1202504 16.1 14.75 0 
BD1202505 17.75 15.5 8.25 
BD1202506 14.4 7.5 23 
BD1202507 17.3 18.25 0 
BD1202508 13.4 0 16 
BD1202509 8.15 0 10.25 
BD1202510 16.9 14.75 0 
BD1202511 17.25 0 19.75 
BD1202512 11.9 0 19.25 
BD1202513 16.75 15.75 0 
BD1202514 14 8.75 17 
BD1202515 22.65 15.25 16 
BD1202516 19.15 15 0 
BD1202517 13.25 13.25 14.5 
BD1202518 17.15 16.5 0 
BD1202519 9.7 0 16 
BD1202520 14.85 11 0 
BD1202521 12.15 10.5 16.5 
BD1202522 13.65 0 17.5 
BD1202523 10.6 0 21.5 
BD1202524 11.25 0 16.75 
BD1202525 15.45 0 19.5 
BD1202526 12.15 8.5 14.25 
BD1202527 12.4 12.25 16.5 
BD1202528 15.6 15.5 0 
BD1202529 12.35 0 18.75 
BD1202530 23.65 18.25 0 
BD1202531 10.6 0 14 
BD1202532 12.95 8.75 12.75 
BD1202533 13.9 0 14.25 
BD1202534 17.8 12 19.25 
BD1202535 13.6 9.75 17.25 
BD1202536 18.25 0 19 
BD1202537 14.4 11.25 16.75 
BD1202538 13.7 12.75 0 
BD1202539 15.4 0 18.75 
BD1202540 15.3 12.5 0 
BD1202541 18.45 20 0 
BD1202542 14 0 13.5 
BD1202543 24.2 21 0 
BD1202544 17.7 13.25 0 
BD1202545 12.85 13 0 
BD1202546 12.5 0 17.75 
BD1202547 9.8 0 13 
BD1202548 13.3 0 18 
BD1202549 14.2 13.75 17.75 
BD1202550 14.15 12.25 0 
BD1202551 16.6 13.75 0 
BD1202552 12.05 8 20 
BD1202553 16.9 0 19.5 
BD1202554 12.6 7.25 14.5 
BD1202555 11.3 0 20 
BD1202556 16.55 0 21.75 
BD1202557 11.5 0 19.25 
BD1202558 6.75 5.5 11.75 
BD1202559 23.45 0 17 
BD1202560 13.75 0 19.75 
BD1202561 21.4 19.5 0 
BD1202562 18.05 16.5 0 
BD1202563 13.9 0 15.75 
BD1202564 24.4 15.5 0 
BD1202565 12.25 0 18.5 
BD1202566 15.5 8.75 13 
BD1202567 15.45 13 0 
BD1202568 18.15 0 16.25 
BD1202569 9.45 0 16 
BD1202570 10.45 0 14 
BD1202571 15.85 11.5 21 
BD1202572 11.4 11.75 17.5 
BD1202573 12.85 0 18.75 
BD1202574 6.25 0 3 
BD1202575 17.95 0 20 
BD1202576 13.45 11.75 12 
BD1202577 13.7 12 0 
BD1202578 11.55 0 16.25 
BD1202579 13.55 0 16 
BD1202580 6.2 3.25 0 
BD1202581 17.6 18 23.25 
BD1202582 22.65 19 0 
BD1202583 20.4 13 17 
BD1202584 11.65 0 17.25 
BD1202585 11.65 0 19.75 
BD1202586 20.7 0 19 
BD1202587 9.15 0 12.25 
BD1202588 14.35 12.5 15.25 
BD1202589 20.95 16.75 0 
BD1202590 10.1 0 19 
BD1202591 14.4 0 20 
BD1202592 11.2 0 16.5 
BD1202593 13.55 0 16.25 
BD1202594 18.35 14.5 0 
BD1202595 11.35 9.5 13.5 
BD1202596 12.45 10.25 0 
BD1202597 19 15.75 0 
BD1202598 19.1 0 19.5 
BD1202599 13.25 10.25 16.25 
BD1202600 10.6 0 16.5 
BD1202601 12.1 0 15.75 
BD1202602 14.3 16.25 0 
BD1202603 18.2 14 0 
BD1202604 18.8 17.75 0 
BD1202605 10.6 0 21.75 
BD1202606 13.8 0 16.5 
BD1202607 18.45 0 16.75 
BD1202609 17.45 18 0 
BD1202610 17.85 0 18.5 
BD1202611 14.1 0 19.25 
BD1202612 23.2 18.75 0 
BD1202613 21.9 11 24 
BD1202614 14.3 15.5 0 
BD1202615 14.05 0 15.25 
BD1202616 17 0 14.25 
BD1202617 15.55 0 23.25 
BD1202618 14.65 0 16.5 
BD1202619 15.9 12.25 0 
BD1202620 9.5 0 11 
BD1202621 16.45 0 19.5 
BD1202622 14.65 13 0 
BD1202623 12.8 0 16.75 
BD1202624 20.55 16.5 0 
BD1202625 17.2 15.25 0 
BD1202626 18.85 0 18.5 
BD1202627 16.35 14.5 0 
BD1202628 17.25 14 0 
BD1202629 12.4 8.5 18.25 
BD1202630 21.75 16.25 0 
BD1202631 16.95 10.75 16.75 
BD1202632 15.9 14.25 0 
BD1202633 16.9 14.5 0 
BD1202634 14.25 0 18.25 
BD1202635 16.35 16 16 
BD1202636 17.55 14.25 16.25 
BD1202637 10.95 0 15.25 
BD1202638 13.6 0 20 
BD1202639 16.3 9.5 19.25 
BD1202640 19.6 0 16.75 
BD1202641 14.9 13.25 0 
BD1202642 13.85 10 20.25 
BD1202643 14.3 0 19.75 
BD1202644 21.9 19.75 0 
BD1202645 14.75 0 22 
BD1202646 20.1 15.75 0 
BD1202648 17.5 15.5 0 
BD1202649 8.6 15.25 0 
BD1202650 13.8 0 15.5 
BD1202651 11.2 0 13.5 
BD1202652 8.85 0 11.75 
BD1202653 16.1 0 22.75 
BD1202654 13.9 0 10.75 
BD1202655 12.3 0 15 
BD1202656 16.2 14.5 0 
BD1202657 10.8 0 12.5 
BD1202658 20.7 18 0 
BD1202659 16.95 17.5 0 
BD1202660 14.25 0 16.75 
BD1202661 17.5 12.75 0 
BD1202662 13 0 19.25 
BD1202663 17.55 16.25 0 
BD1202664 16.55 0 16.5 
BD1202665 14.05 0 14.75 
BD1202666 20.2 0 19 
BD1202667 18.75 22.25 0 
BD1202668 13.9 15.25 0 
BD1202669 19.2 16.75 0 
BD1202670 17.1 17 0 
BD1202671 11.7 0 16.25 
BD1202672 20.45 17.75 0 
BD1202673 13.25 0 21 
BD1202674 7.4 14.25 0 
BD1202675 16.7 0 17.5 
BD1202676 20.45 12.75 0 
BD1202677 16.1 15.25 0 
BD1202678 17.8 11.75 0 
BD1202679 19.95 14.75 0 
BD1202680 23 17.75 0 
BD1202681 14.6 0 22.5 
BD1202682 18.9 18.25 0 
BD1202683 18.15 19.75 0 
BD1202684 12.65 0 18.5 
BD1202685 17.9 16 0 
BD1202686 10.45 0 16 
BD1202687 8.65 9 13.25 
BD1202688 6.75 8 16.5 
BD1202689 18 0 15.75 
BD1202690 19.15 15.5 0 
BD1202691 11 0 13.5 
BD1202693 7.55 0 11 
BD1202694 4.85 0 15 
BD1202695 12.95 14.5 17.25 
BD1202696 12.4 0 18 
BD1202697 11.9 10.5 17.75 
BD1202698 15.4 13 0 
BD1202699 11.1 0 14.5 
BD1202700 17.5 16.25 0 
BD1202701 11.65 0 16.25 
BD1202702 13.25 0 18.25 
BD1202703 14.85 14.25 16 
BD1202704 21.3 0 22.25 
BD1202705 12.25 0 19.5 
BD1202706 21.5 0 14.5 
BD1202707 18.3 21.25 0 
BD1202708 12.1 0 18.75 
BD1202709 17.15 17.75 0 
BD1202710 15.7 0 14.75 
BD1202711 18.05 0 20.75 
BD1202712 16 0 18.75 
BD1202713 13.55 11.5 17.25 
BD1202714 12.25 0 16.25 
BD1202715 16.9 0 19 
BD1202716 10.25 0 16 
BD1202717 12.3 9.5 10.25 
BD1202718 16.8 20 0 
BD1202719 17.9 0 19.5 
BD1202720 16.2 0 21 
BD1202721 17.65 14.25 0 
BD1202722 14.05 0 15.5 
BD1202723 22.8 16.5 0 
BD1202724 8.65 0 13.75 
BD1202725 16.85 14.5 0 
BD1202726 10.7 0 14 
BD1202727 8.65 0 10 
BD1202728 16.05 11.75 0 
BD1202729 16.1 0 20.25 
BD1202730 14.3 11 15.5 
BD1202731 17.2 0 18.25 
BD1202732 11.65 0 17.5 
BD1202733 13.9 0 16.25 
BD1202734 14.2 0 17 
BD1202735 13.35 0 15.75 
BD1202736 9 16.5 0 
BD1202737 11.2 8.75 19.5 
BD1202738 18.6 18.5 19 
BD1202739 20.7 18.25 0 
BD1202740 14.6 10.25 17 
BD1202741 14.9 0 21 
BD1202742 9.35 0 15 
BD1202743 9.5 8.5 21.5 
BD1202744 17.6 19.5 0 
BD1202745 17.45 16.5 0 
BD1202746 12.25 0 19 
BD1202747 18.35 0 19.5 
BD1202748 8.85 0 10 
BD1202749 20.7 0 18.75 
BD1202750 12 0 11.5 
BD1202751 7.95 0 10 
BD1202752 12.2 0 16.5 
BD1202753 11.5 0 16.75 
BD1202754 10.75 0 20.75 
BD1202755 11.9 0 14.5 
BD1202756 14.85 9.5 17.75 
BD1202757 16.65 12 0 
BD1202758 15.6 17.5 0 
BD1202759 6.5 0 7.5 
BD1202760 3.8 6 0 
BD1202761 10.2 0 9.5 
BD1202762 15.3 0 22.25 
BD1202763 15.4 11 0 
BD1202764 12.9 14 0 
BD1202765 15.65 14.5 0 
BD1202766 18.65 15.5 0 
BD1202767 19.35 17.75 0 
BD1202768 18.9 13.75 0 
BD1202769 17.9 0 17.5 
BD1202770 14.6 15.5 0 
BD1202771 14.75 11.5 16.75 
BD1202772 9.2 0 8 
BD1202773 15.4 0 17.5 
BD1202774 11.55 0 21.25 
BD1202776 13 0 16.5 
BD1202777 18.6 0 20.25 
BD1202778 15.65 0 16.25 
BD1202779 11.3 0 15.5 
BD1202780 20.95 19.75 0 
BD1202781 17.3 0 19.25 
BD1202782 14.7 12.25 0 
BD1202783 13.4 10.5 0 
BD1202784 15.2 13.75 0 
BD1202785 9 20 0 
BD1202786 14.2 13.75 0 
BD1202787 9.15 8.5 13.5 
BD1202788 16.9 0 17 
BD1202789 9.4 0 16 
BD1202790 19.55 15.25 0 
BD1202791 16.55 0 18 
BD1202792 10.7 0 14 
BD1202793 18.1 16.25 0 
BD1202794 16.75 0 17.75 
BD1202795 19.6 16.75 16 
BD1202796 18.7 18.25 0 
BD1202797 17.45 0 18.75 
BD1202798 18.25 16.25 0 
BD1202799 11.5 8.75 18.5 
BD1202800 15.8 0 16 
BD1202801 17.25 14.25 0 
BD1202802 13.15 12 16.5 
BD1202803 21.65 0 18.5 
BD1202804 14.1 0 21.25 
BD1202805 9.95 0 12.75 
BD1202806 20.65 18.75 0 
BD1202807 13.9 7.75 20 
BD1202808 13.9 0 16.75 
BD1202809 7.1 0 11.5 
BD1202810 23.7 15.75 0 
BD1202811 11.4 0 11.25 
BD1202812 9.9 0 17.5 
BD1202813 18.3 20.25 16.5 
BD1202814 10.45 0 19.75 
BD1202815 20.45 21.25 0 
BD1202816 22.25 15.75 0 
BD1202817 15.15 10 20.75 
BD1202818 15.85 0 24.75 
BD1202819 18.1 0 17.75 
BD1202820 15.45 13 0 
BD1202821 16.45 13.25 0 
BD1202822 10.1 0 14.5 
BD1202823 10.85 0 17 
BD1202824 14.8 13.75 14.75 
BD1202825 12.4 0 15 
BD1202826 18.15 0 19.5 
BD1202827 12.8 0 16.25 
BD1202828 12.55 0 22.25 
BD1202829 12.05 0 15 
BD1202830 15.2 17.75 0 
BD1202831 12.7 0 16.75 
BD1202832 10.9 0 15 
BD1202833 11.15 0 14 
BD1202834 22.05 20.75 0 
BD1202835 19.8 0 19.75 
BD1202836 14.8 0 19.25 
BD1202837 20.3 13.75 0 
BD1202838 20.3 19.25 0 
BD1202839 19.15 20.75 0 
BD1202840 12.45 0 15.75 
BD1202841 15.7 0 19.25 
BD1202842 17.4 0 15.25 
BD1202843 18.8 0 25.75 
BD1202844 20.65 0 18.75 
BD1202845 19.05 20.5 0 
BD1202846 19.35 0 22.25 
BD1202847 11.3 0 12.5 
BD1202848 21.15 17 0 
BD1202849 12.6 10.25 19 
BD1202850 13.65 0 13.75 
BD1202851 19.1 0 21 
BD1202852 10.85 0 18 
BD1202853 12.55 0 12.5 
BD1202854 15.3 15 0 
BD1202855 15.3 14.75 20 
BD1202856 10.55 0 20.25 
BD1202857 13.6 0 17.25 
BD1202858 22.55 19.25 0 
BD1202859 11.1 0 14.5 
BD1202860 17.35 0 17.75 
BD1202861 15.15 18 17.75 
BD1202862 17.3 12.25 18.25 
BD1202863 21.05 15.5 0 
BD1202864 11 0 16 
BD1202865 13 0 18.5 
BD1202866 14.25 0 15 
BD1202867 14.35 13.25 0 
BD1202868 22.15 0 26.25 
BD1202869 9.7 9.5 21.5 
BD1202870 21.8 17.25 0 
BD1202871 9.95 0 13.5 
BD1202872 21.1 0 21.75 
BD1202873 9 6 11.25 
BD1202874 17.75 12.25 0 
BD1202875 10.6 0 14.75 
BD1202876 16.3 14.25 13 
BD1202877 14.8 0 17.75 
BD1202878 15.55 15.25 0 
BD1202879 9.9 0 18.5 
BD1202880 13.5 0 19 
BD1202881 15.95 0 18 
BD1202882 18.9 0 18.5 
BD1202883 14.9 0 20 
BD1202884 14.95 0 14.5 
BD1202885 17.35 15.75 0 
BD1202886 16.85 15.75 0 
BD1202887 16.75 0 18.5 
BD1202888 15.45 12 27.25 
BD1202889 6 0 10.75 
BD1202890 12.1 0 20 
BD1202891 16.85 0 18.75 
BD1202892 12.9 9.25 0 
BD1202893 12.2 0 18.5 
BD1202894 6.8 0 2.75 
BD1202895 16.5 20.25 0 
BD1202896 14.7 0 19 
BD1202897 19.3 19 0 
BD1202898 11.45 0 16.75 
BD1202899 10.8 0 19.25 
BD1202900 10.25 0 14 
BD1202901 18.95 13.25 0 
BD1202902 18.35 12 20 
BD1202903 15.15 7.75 15.25 
BD1202904 14.55 0 15.25 
BD1202905 15.7 19 0 
BD1202906 17.9 0 20.25 
BD1202907 16.85 14.25 0 
BD1202908 16.85 0 19.25 
BD1202909 14.7 0 22 
BD1202910 17 11.75 0 
BD1202911 17.35 14.5 0 
BD1202913 19.3 18.5 0 
BD1202914 16 19.75 0 
BD1202915 22.35 17.5 0 
BD1202916 14.45 0 20 
BD1202917 11.5 0 15.75 
BD1202918 15.7 9.75 19.25 
BD1202919 18.8 17.25 0 
BD1202920 12.9 13 0 
BD1202921 11.9 10 17 
BD1202922 11.7 0 17.25 
BD1202923 15.95 13.75 0 
BD1202924 23.8 20 0 
BD1202925 16.2 0 18 
BD1202926 21.4 19.5 0 
BD1202927 11.75 0 15.25 
BD1202928 20.45 0 21.75 
BD1202929 15.5 14.75 0 
BD1202930 17.8 0 17.25 
BD1202931 14.65 0 16.25 
BD1202932 11.75 13.5 0 
BD1202933 10.9 0 17 
